From;To;Type;Through;start_x;start_y;stop_x;stop_y;adjacency_rule_name;Comment
4509;7542;sea;2585;-1;-1;-1;-1;;Papua-Japen
10251;1329;sea;430;5112;550;5122;559;;Papua-New Britain
7251;4421;sea;7010;-1;-1;-1;-1;;New Britain-Latangai
13021;13022;sea;8673;-1;-1;-1;-1;;Gilbert Islands
4268;4231;sea;5741;-1;-1;-1;-1;;New Caledonia 1
1237;12120;sea;5660;-1;-1;-1;-1;;New Caledonia 2
12632;1814;sea;5637;-1;-1;-1;-1;;North-South NZ Islands
10231;10248;sea;430;-1;-1;-1;-1;;New Guinea-Fergusson
12246;10288;sea;5513;-1;-1;-1;-1;;Cobourg-Australia
1042;7437;sea;6819;-1;-1;-1;-1;;San Cristobal-Guadalcanal
4292;10319;sea;5868;-1;-1;-1;-1;;Guadalcanal-Munda
10319;12265;sea;5868;-1;-1;-1;-1;;Munda-Choiseul
12265;4252;sea;5868;-1;-1;-1;-1;;Choiseul-Santa Isabel
4252;1085;sea;5868;-1;-1;-1;-1;;Santa Isabel-Malaita
1085;10291;sea;5868;-1;-1;-1;-1;;Malaita-Guadalcanal
1742;7868;sea;2510;-1;-1;-1;-1;;Sakhalin-Siberia
12661;7884;sea;8538;-1;-1;-1;-1;;Kodiak-Alaska
11985;1025;sea;7932;-1;-1;-1;-1;;Japan-Kyushu
4094;7212;sea;8791;-1;-1;-1;-1;;Shikoku-Chugoku
9965;7072;sea;8791;-1;-1;-1;-1;;Shikoku-Kansai
1399;1515;sea;220;-1;-1;-1;-1;;Kurils 1
1515;13037;sea;5614;-1;-1;-1;-1;;Kurils 2
13037;4646;sea;4465;-1;-1;-1;-1;;Kurils-Hokkaido
9952;1117;sea;2658;-1;-1;-1;-1;;Niigata-Sado
10092;7046;sea;8791;-1;-1;-1;-1;;Kyushu-Shikoku
4198;12032;sea;8472;-1;-1;-1;-1;;Kanoya-Yokushima
11948;1177;sea;2708;-1;-1;-1;-1;;Jeju-Korea
10124;1123;sea;8499;-1;-1;-1;-1;;Okinawa 1
1123;7115;sea;8318;-1;-1;-1;-1;;Okinawa 2
3995;13024;sea;2855;-1;-1;-1;-1;;Saipan-Tinian
1135;13090;sea;6471;-1;-1;-1;-1;;Amlia-Unalaska
13090;10694;sea;6064;-1;-1;-1;-1;;Unalaska-Unimak
10048;7195;sea;8384;-1;-1;-1;-1;;Hawaii-Maui
7195;4180;sea;8410;-1;-1;-1;-1;;Maui-Honolulu
4180;7112;sea;5339;-1;-1;-1;-1;;Honolulu-Kauai
12148;10188;sea;8660;-1;-1;-1;-1;;Tahiti-Raiatea
7290;13080;sea;9081;-1;-1;-1;-1;;Samoan Islands
4286;12159;sea;8289;-1;-1;-1;-1;;Fiji-Sanua Levu
13055;13056;sea;8419;-1;-1;-1;-1;;Nukufetau-Funafuti
13056;13057;sea;8419;-1;-1;-1;-1;;Funafuti-Nukulaelae
13027;13028;sea;2735;-1;-1;-1;-1;;Ngulu-Yap
13029;13028;sea;2735;-1;-1;-1;-1;;Ulithi-Yap
2489;13033;sea;7918;-1;-1;-1;-1;;Truk-Hall Islands
13041;13044;sea;7287;-1;-1;-1;-1;;Carolines 1
13042;13043;sea;2414;-1;-1;-1;-1;;Carolines 2
10276;7669;sea;5263;-1;-1;-1;-1;;Tiwi-Darwin
12910;7567;sea;5771;-1;-1;-1;-1;;Adelaide-Kangaroo Island
4526;153;sea;2571;-1;-1;-1;-1;;Curacao-Zulia
10767;3284;sea;2597;-1;-1;-1;-1;;Miranda-Trinidad
13012;3284;sea;2597;-1;-1;-1;-1;;Tobago-Trinidad
11106;379;sea;5533;-1;-1;-1;-1;;Grenada-St Vincent
379;11350;sea;5533;-1;-1;-1;-1;;St Vincent-Barbados
379;13009;sea;5533;-1;-1;-1;-1;;St Vincent-St Lucia
13009;177;sea;5533;-1;-1;-1;-1;;St Lucia-Martinique
177;7123;sea;5533;-1;-1;-1;-1;;Martinique-Dominica
7123;9377;sea;5533;-1;-1;-1;-1;;Dominica-Guadeloupe
9377;4450;sea;2887;-1;-1;-1;-1;;Guadeloupe-Montserrat
4450;13084;sea;2887;-1;-1;-1;-1;;Montserrat-Anguilla
13084;4155;sea;5507;-1;-1;-1;-1;;Anguilla-Virgin Islands
1440;4155;sea;5507;-1;-1;-1;-1;;Puerto Rico-Virgin Islands
10203;9805;sea;5864;-1;-1;-1;-1;;Corfu-Epirus
1106;12001;sea;5913;-1;-1;-1;-1;;Lefkada-Epirus
3401;7127;sea;6801;-1;-1;-1;-1;;Cyclades-Greece
8435;6864;sea;7452;-1;-1;-1;-1;;Lesbos-Turkey
6550;4112;sea;7226;-1;-1;-1;-1;;Chios-Turkey
7003;9941;sea;7226;-1;-1;-1;-1;;Kos-Bodrum
10007;10122;sea;7226;-1;-1;-1;-1;;Rhodes-Turkey
9833;11829;sea;5412;-1;-1;-1;-1;;Bosphorus
9680;6741;sea;8282;-1;-1;-1;-1;;Kerch Strait
9859;3962;sea;5946;-1;-1;-1;-1;;Tsugaru Strait
10011;7110;sea;2708;4825;1219;-1;-1;;Tushima-Kyushu
4160;1070;sea;5244;-1;-1;-1;-1;;Hainan-Strait
1712;12147;sea;8978;-1;-1;-1;-1;;Quebec-Strait
3691;7813;sea;6261;-1;-1;-1;-1;;Cold Ass-Strait
7259;1393;sea;5257;-1;-1;-1;-1;;Vancouver-Strait
11047;198;sea;8370;-1;-1;-1;-1;;Barents-Strait
11157;3145;sea;5792;-1;-1;-1;-1;;Northern-Straits
11090;91;sea;5792;-1;-1;-1;-1;;Northern-Straits
44;11050;sea;5792;-1;-1;-1;-1;;Northern-Straits
22;3016;sea;5792;-1;-1;-1;-1;;Northern-Straits
6062;6205;sea;3590;-1;-1;-1;-1;;West Scottish-Strait
8435;6550;sea;7452;-1;-1;-1;-1;;Aegan Isle-Strait
7304;4360;sea;8614;-1;-1;-1;-1;;New Foundland-Strait
5407;5382;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar North
5407;2400;;-1;-1;-1;-1;-1;GIBRALTAR_STRAIT;Gibraltar South
2455;2506;;-1;-1;-1;-1;-1;DANISH_BELTS_STRAIT;Øresund
5412;7678;;-1;-1;-1;-1;-1;BOSPHORUS_STRAIT;Bosphorus
10825;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10825;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;1991;impassable;-1;-1;-1;-1;-1;;Himalayas
10910;12807;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;2098;impassable;-1;-1;-1;-1;-1;;Himalayas
12730;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
10810;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5018;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;8041;impassable;-1;-1;-1;-1;-1;;Himalayas
1996;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
4318;5102;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;8029;impassable;-1;-1;-1;-1;-1;;Himalayas
1898;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
3989;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
1129;1961;impassable;-1;-1;-1;-1;-1;;Himalayas
4558;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;12653;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4558;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12763;10826;impassable;-1;-1;-1;-1;-1;;peshawar mountains
2084;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
10821;7519;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;12831;impassable;-1;-1;-1;-1;-1;;peshawar mountains
4998;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;5082;impassable;-1;-1;-1;-1;-1;;peshawar mountains
1978;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
7975;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;8090;impassable;-1;-1;-1;-1;-1;;peshawar mountains
8044;5064;impassable;-1;-1;-1;-1;-1;;peshawar mountains
12805;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;5087;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12805;1766;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;7519;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
10417;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
8027;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12653;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
7224;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12218;12314;impassable;-1;-1;-1;-1;-1;;stalinabad mountains
12370;1766;impassable;-1;-1;-1;-1;-1;;pamir mountains
12370;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;12119;impassable;-1;-1;-1;-1;-1;;pamir mountains
5062;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4768;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;4828;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;1703;impassable;-1;-1;-1;-1;-1;;pamir mountains
4391;12526;impassable;-1;-1;-1;-1;-1;;pamir mountains
12870;12727;impassable;-1;-1;-1;-1;-1;;nejd mountains
10892;10748;impassable;-1;-1;-1;-1;-1;;arabia road
10892;8004;impassable;-1;-1;-1;-1;-1;;arabia road
12813;12870;impassable;-1;-1;-1;-1;-1;;arabia road
10885;10614;impassable;-1;-1;-1;-1;-1;;Turpan
10885;8042;impassable;-1;-1;-1;-1;-1;;Turpan
10885;10545;impassable;-1;-1;-1;-1;-1;;Turpan
10885;7792;impassable;-1;-1;-1;-1;-1;;Turpan
10885;12524;impassable;-1;-1;-1;-1;-1;;Turpan
10885;5736;impassable;-1;-1;-1;-1;-1;;Turpan
10885;2074;impassable;-1;-1;-1;-1;-1;;Turpan
10885;1698;impassable;-1;-1;-1;-1;-1;;Turpan
10885;4947;impassable;-1;-1;-1;-1;-1;;Turpan
10885;12820;impassable;-1;-1;-1;-1;-1;;Turpan
10885;7732;impassable;-1;-1;-1;-1;-1;;Turpan
10885;12656;impassable;-1;-1;-1;-1;-1;;Turpan
1838;7732;impassable;-1;-1;-1;-1;-1;;Hami
1838;4704;impassable;-1;-1;-1;-1;-1;;Hami
1838;4843;impassable;-1;-1;-1;-1;-1;;Hami
1838;12820;impassable;-1;-1;-1;-1;-1;;Hami
12737;10691;impassable;-1;-1;-1;-1;-1;;Altay
12737;1844;impassable;-1;-1;-1;-1;-1;;Altay
12737;12590;impassable;-1;-1;-1;-1;-1;;Altay
12737;7693;impassable;-1;-1;-1;-1;-1;;Altay
12737;4823;impassable;-1;-1;-1;-1;-1;;Altay
12737;10674;impassable;-1;-1;-1;-1;-1;;Altay
4714;4849;impassable;-1;-1;-1;-1;-1;;Altay
4714;13363;impassable;-1;-1;-1;-1;-1;;Altay
4714;13364;impassable;-1;-1;-1;-1;-1;;Altay
4714;7737;impassable;-1;-1;-1;-1;-1;;Altay
4714;10674;impassable;-1;-1;-1;-1;-1;;Altay
4714;4788;impassable;-1;-1;-1;-1;-1;;Altay
4714;8086;impassable;-1;-1;-1;-1;-1;;Altay
4714;5016;impassable;-1;-1;-1;-1;-1;;Altay
4714;4823;impassable;-1;-1;-1;-1;-1;;Altay
12801;5042;impassable;-1;-1;-1;-1;-1;;Aksai
12801;7273;impassable;-1;-1;-1;-1;-1;;Aksai
12801;12784;impassable;-1;-1;-1;-1;-1;;Aksai
12801;2010;impassable;-1;-1;-1;-1;-1;;Aksai
8068;1943;impassable;-1;-1;-1;-1;-1;;Kunlun
8068;2074;impassable;-1;-1;-1;-1;-1;;Kunlun
8068;10315;impassable;-1;-1;-1;-1;-1;;Kunlun
10755;2010;impassable;-1;-1;-1;-1;-1;;Tibet
10755;12784;impassable;-1;-1;-1;-1;-1;;Tibet
10755;10802;impassable;-1;-1;-1;-1;-1;;Tibet
10755;5094;impassable;-1;-1;-1;-1;-1;;Tibet
10755;8029;impassable;-1;-1;-1;-1;-1;;Tibet
10755;1991;impassable;-1;-1;-1;-1;-1;;Tibet
10755;2093;impassable;-1;-1;-1;-1;-1;;Tibet
10755;4994;impassable;-1;-1;-1;-1;-1;;Tibet
10755;10918;impassable;-1;-1;-1;-1;-1;;Tibet
10755;4973;impassable;-1;-1;-1;-1;-1;;Tibet
10755;10911;impassable;-1;-1;-1;-1;-1;;Tibet
10755;1943;impassable;-1;-1;-1;-1;-1;;Tibet
10755;5011;impassable;-1;-1;-1;-1;-1;;Tibet
4960;1959;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;3427;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;10451;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;12706;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;10629;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;2087;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;8055;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;4525;impassable;-1;-1;-1;-1;-1;;Kubuqi
4960;7631;impassable;-1;-1;-1;-1;-1;;Kubuqi
4986;10854;impassable;-1;-1;-1;-1;-1;;Maowusu
4986;12706;impassable;-1;-1;-1;-1;-1;;Maowusu
4986;3427;impassable;-1;-1;-1;-1;-1;;Maowusu
4986;8081;impassable;-1;-1;-1;-1;-1;;Maowusu
4986;10880;impassable;-1;-1;-1;-1;-1;;Maowusu
4986;7314;impassable;-1;-1;-1;-1;-1;;Maowusu
4986;7659;impassable;-1;-1;-1;-1;-1;;Maowusu
13400;7314;impassable;-1;-1;-1;-1;-1;;Maowusu
13400;7659;impassable;-1;-1;-1;-1;-1;;Maowusu
13392;4783;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;13398;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;13399;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;7803;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;10899;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;5031;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;13391;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;10770;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13392;12750;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;8055;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;1959;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;10724;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;13452;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;13454;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;12750;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;10899;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;13453;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
13451;5031;impassable;-1;-1;-1;-1;-1;;Badain Jaran Desert
7511;5057;impassable;-1;-1;-1;-1;-1;;Tengger Desert
7511;3742;impassable;-1;-1;-1;-1;-1;;Tengger Desert
7511;8127;impassable;-1;-1;-1;-1;-1;;Tengger Desert
7511;10724;impassable;-1;-1;-1;-1;-1;;Tengger Desert
7511;13454;impassable;-1;-1;-1;-1;-1;;Tengger Desert
7511;13453;impassable;-1;-1;-1;-1;-1;;Tengger Desert
13393;5057;impassable;-1;-1;-1;-1;-1;;Tengger Desert
13393;12327;impassable;-1;-1;-1;-1;-1;;Tengger Desert
13393;12776;impassable;-1;-1;-1;-1;-1;;Tengger Desert
13393;5031;impassable;-1;-1;-1;-1;-1;;Tengger Desert
13393;13453;impassable;-1;-1;-1;-1;-1;;Tengger Desert
13464;13466;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
13464;13467;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
8119;13467;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
7964;13469;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
13470;13469;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
13470;12859;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
8119;1904;impassable;-1;-1;-1;-1;-1;;Baja California Mountains
13477;2069;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;10848;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;4908;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;13478;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;10765;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;13480;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;8012;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13477;13472;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;10765;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;13480;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;13473;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;5071;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;13476;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;8033;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13214;12827;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13481;12827;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13481;13490;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13481;12745;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13481;13489;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13481;7935;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;7935;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;13489;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;13474;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;13475;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;10830;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;10916;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;4898;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;1945;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
13482;8033;impassable;-1;-1;-1;-1;-1;;Sonoran Wilderness
12850;13484;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
12850;13485;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
12850;12897;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
12850;13483;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
12850;8003;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;13484;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;2104;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;12811;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;13498;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;10746;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;13492;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;10800;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13491;8003;impassable;-1;-1;-1;-1;-1;;Coahuila Wilderness
13530;13532;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13530;12715;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13530;13537;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13536;13534;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13536;13535;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13536;2077;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13536;13532;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13236;4991;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13236;13235;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13236;13239;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13236;4904;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13236;13537;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13236;2077;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13240;13532;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13240;12715;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13240;13244;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13240;13245;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13240;13531;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13240;13533;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13237;13533;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13237;4965;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13237;13238;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13237;13535;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13237;13534;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13237;13532;impassable;-1;-1;-1;-1;-1;;Yucatan Jungle
13553;13582;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13553;13589;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13553;13587;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13553;13584;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13554;13589;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13554;13588;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13554;13587;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13554;12899;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13554;13585;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;13589;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;13586;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;13588;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;13583;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;12899;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;13591;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;13590;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
8037;4964;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13371;13582;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13371;13584;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13371;13555;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13371;13556;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13371;10315;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13371;10918;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;13555;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;13584;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;13585;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;13558;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;13560;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;4914;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13557;13556;impassable;-1;-1;-1;-1;-1;;Yushu Mountains
13372;13556;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13372;4914;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13372;13592;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13372;13570;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13372;7940;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13372;10865;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13372;10315;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13566;10865;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13566;13567;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13566;12890;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13566;2074;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13566;1698;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;13592;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;7940;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;10796;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;12840;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;8018;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;4914;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
13572;13565;impassable;-1;-1;-1;-1;-1;;Qaidam Mountains
